Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
VPSC3,"6,03","-0,03","2,59","0,017","0,00%","0,020","-0,03","-0,08","-0,04","-0,15","-0,15","-22,82%","-55,90%","0,43","-28,56%","-8.246,83%","0,00","1.232.000,00","6,15","-10,02%"
VPTA3,"5,00","-0,03","0,00","0,124","0,00%","0,026","-0,01","-0,06","0,00","-6,82","-6,82","-193,57%","-396,38%","0,23","-45,00%","10,11%","0,00","-867.658.000,00","-0,34","-58,91%"
ARTE4,"6,81","-0,03","-0,03","0,000","0,00%","0,091","0,00","-0,46","0,00","-15,79","-15,79","0,00%","0,00%","0,00","0,00%","102,90%","0,00","-33.570.000,00","0,00","-64,35%"
SGPS3,"0,36","-0,02","0,11","0,018","0,00%","0,007","-0,02","-0,04","-0,01","-2,10","-2,73","-42,31%","-77,23%","0,45","-20,14%","-470,13%","172.099,00","165.504.000,00","6,43","-1,31%"
RCTB33,"57,00","-0,02","0,00","0,012","0,00%","0,001","0,00","-0,01","0,00","3,40","13,87","-86,04%","-57,54%","4,81","-13,31%","-17,06%","0,00","1.343.740.000,00","0,07","15,58%"
AMER3,"0,40","-0,02","-0,01","0,021","0,00%","0,016","-0,01","-0,05","-0,01","-2,84","-3,33","-39,45%","-99,25%","0,22","-48,06%","54,76%","8.047.340,00","-31.185.000.000,00","-0,72","36,25%"
TROR4,"1,56","-0,02","0,00","0,355","0,00%","0,316","0,00","-3,90","0,00","-726,24","-726,24","-9,11%","-1.745,52%","0,01","-9,77%","21,14%","0,00","-1.959.650.000,00","-0,80","6,34%"
RPMG4,"0,26","-0,02","0,00","0,003","0,00%","0,003","0,00","-0,02","0,00","-0,02","-0,02","-22,83%","-19,42%","0,53","-19,69%","17,90%","0,00","-5.469.070.000,00","0,00","50,67%"
GAFP4,"0,05","-0,02","-0,01","0,155","0,00%","0,006","-0,04","-0,20","0,00","-46,65","-46,65","-77,57%","-981,28%","0,51","-3,21%","38,79%","0,00","-80.712.500,00","-1,43","-58,09%"
RCTB31,"41,00","-0,02","0,00","0,009","0,00%","0,001","0,00","-0,01","0,00","3,40","13,89","-86,04%","-57,54%","4,81","-13,31%","-17,06%","0,00","1.343.740.000,00","0,07","15,58%"
MILK33,"0,30","-0,02","-0,02","0,077","0,00%","0,029","-0,08","-0,04","-0,02","-0,11","-0,12","-176,80%","-508,08%","0,50","-70,91%","165,12%","0,00","-516.285.000,00","-0,04","-42,04%"
RCTB41,"33,51","-0,01","0,00","0,007","0,00%","0,001","0,00","-0,01","0,00","3,41","13,90","-86,04%","-57,54%","4,81","-13,31%","-17,06%","0,00","1.343.740.000,00","0,07","15,58%"
OSXB3,"3,89","-0,01","0,00","0,236","0,00%","0,005","-0,01","-0,54","0,00","-274,40","-459,30","-43,57%","-2.259,70%","0,01","-0,98%","17,00%","19.815,80","-6.992.210.000,00","-0,89","53,07%"
RCTB42,"20,00","-0,01","0,00","0,004","0,00%","0,000","0,00","-0,01","0,00","3,41","13,91","-86,04%","-57,54%","4,81","-13,31%","-17,06%","0,00","1.343.740.000,00","0,07","15,58%"
TENE5,"0,50","0,00","0,00","2,241","0,00%","0,006","-0,13","-0,07","0,00","-0,07","-0,18","-3.088,89%","-64.451,80%","0,00","-8,17%","13,77%","0,00","-126.362.000,00","0,00","0,00%"
CGOS4,"16,00","0,00","0,00","0,000","0,00%","0,000","0,00","-0,16","0,00","-313,85","-313,85","-0,20%","-10,48%","0,54","-0,08%","-39,02%","0,00","453.387.000,00","2,48","8,97%"
FLCL3,"11,50","0,00","14,91","0,000","0,00%","2,728","121,42","0,00","-5,49","0,00","0,00","0,00%","0,00%","1,08","0,00%","0,00%","0,00","347.639.000,00","2,68","-49,62%"
EQMA5B,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","3.915.830.000,00","0,00","10,26%"
EQMA6B,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","3.915.830.000,00","0,00","10,26%"
LCAM3,"24,15","0,00","3,45","0,000","0,00%","2,984","14,80","0,00","23,76","0,00","0,00","0,00%","0,00%","4,39","0,00%","0,00%","0,00","17.622.700.000,00","0,04","23,48%"
LECO3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-3,00","-3,00","-2,14%","-4,72%","0,82","-3,48%","-14,82%","0,00","105.928.000,00","0,20","3,58%"
TNEP4,"3,95","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-1,09","-1,09","20,92%","25,42%","2,39","20,53%","22,80%","0,00","955.105.000,00","0,06","8,15%"
TNEP3,"3,01","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-1,09","-1,09","20,92%","25,42%","2,39","20,53%","22,80%","0,00","955.105.000,00","0,06","8,15%"
MSAN4,"6,44","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,21","0,21","6,27%","2,42%","1,18","11,78%","11,81%","0,00","2.533.030.000,00","0,39","101,35%"
ESTC4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","5,40","2,70","15,29%","2,94%","1,48","9,46%","4,82%","0,00","3.197.080.000,00","1,62","10,00%"
MLPA3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-2,08","-2,08","6,66%","8,92%","0,00","0,00%","45,13%","0,00","44.578.000,00","0,00","-7,51%"
MMAQ3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","1,60","0,00%","0,00%","0,00","266.382.000,00","0,83","23,32%"
MMAQ4,"200,06","0,00","0,03","0,000","0,00%","0,016","0,05","0,00","0,05","0,00","0,00","0,00%","0,00%","1,60","0,00%","0,00%","0,00","266.382.000,00","0,83","23,32%"
ILLS4,"100,01","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,73","0,73","8,43%","-10,22%","0,50","8,14%","36,09%","0,00","-18.567.000,00","-0,22","9,33%"
VGOR3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","6,77","6,77","4,50%","-4,59%","1,04","6,00%","-24,29%","0,00","135.178.000,00","1,89","4,77%"
VNET3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","12.164.500.000,00","0,00","-7,35%"
VVAX4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-4,44","-4,44","-7,36%","-37,76%","2,19","-6,52%","-92,03%","0,00","144.676.000,00","1,55","0,00%"
VVAX3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-4,44","-4,44","-7,36%","-37,76%","2,19","-6,52%","-92,03%","0,00","144.676.000,00","1,55","0,00%"
VSPT4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","1.192.740.000,00","0,00","9,94%"
VSPT3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","1.192.740.000,00","0,00","9,94%"
ENER3,"10,50","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","1,31","0,00%","0,00%","0,00","1.177.430.000,00","3,23","15,79%"
ENER5,"6,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","1,31","0,00%","0,00%","0,00","1.177.430.000,00","3,23","15,79%"
ENER6,"12,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","1,31","0,00%","0,00%","0,00","1.177.430.000,00","3,23","15,79%"
JBDU3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","56.569.000,00","0,00","0,00%"
INHA3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-7,13","-7,85","-20,26%","-13,30%","1,69","-4,38%","-7,95%","0,00","1.778.740.000,00","0,96","25,93%"
JFAB4,"0,06","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-112,33","-112,33","0,00%","0,00%","0,00","0,00%","2,34%","0,00","-10.183.000,00","0,00","0,00%"
LATS3,"22,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,27","1,27","11,74%","1,30%","1,67","11,63%","1,84%","0,00","680.646.000,00","0,39","15,37%"
SUZA4,"13,90","0,00","0,19","0,000","0,00%","0,017","0,10","0,00","-0,04","0,00","0,00","0,00%","0,00%","2,89","0,00%","0,00%","0,00","12.826.800.000,00","6,16","31,72%"
